X,Y,Z
0.014579001,-0.014945,1.007415058
0.014091,0.001891,1.008879025
0.014823,1.83E-04,1.011807056
0.014091,0.001159,1.011807056
0.014579001,-0.012749001,1.001071006
0.023119,0.002379,1.032546979
0.015067,0.001159,1.012051051
0.014579001,-6.10E-05,1.008879025
0.015799001,-6.10E-05,1.009855003
0.014823,-3.05E-04,1.009367014
0.014579001,4.27E-04,1.008391036
0.015067,6.71E-04,1.010586986
0.014823,9.15E-04,1.011074975
0.016287,-6.10E-05,1.007171063
0.015799001,-6.10E-05,1.010586986
0.015067,-3.05E-04,1.009123019
0.015067,9.15E-04,1.010586986
0.016043,6.71E-04,1.006926971
0.017263,0.001403,1.003267054
0.016043,4.27E-04,1.003267054
0.016531001,-7.93E-04,1.003511048
0.015555,4.27E-04,1.003023059
0.015799001,6.71E-04,1.003511048
0.015311,1.83E-04,1.003755043
0.016531001,-3.05E-04,1.00521901
0.015555,-6.10E-05,1.006438982
0.015067,-3.05E-04,1.007415058
0.015555,6.71E-04,1.005706999
0.016287,0.001159,1.009611008
0.015799001,4.27E-04,1.007415058
0.016775,6.71E-04,1.006438982
0.014823,-3.05E-04,1.006682977
0.015799001,-3.05E-04,1.007415058
0.015311,-5.49E-04,1.009855003
0.015555,4.27E-04,1.009367014
0.015067,6.71E-04,1.007903047
0.015311,6.71E-04,1.00863503
0.015555,1.83E-04,1.008879025
0.014579001,1.83E-04,1.007171063
0.015555,6.71E-04,1.007415058
0.013847001,6.71E-04,1.011807056
0.025315,-0.032025001,1.011563062
0.005063,0.0331535,1.01131897
0.016775,-3.05E-04,1.004975015
0.016287,6.71E-04,1.006194988
0.014823,0.001403,1.007659052
0.015311,-3.05E-04,1.009855003
0.014579001,6.71E-04,1.013271023
0.014091,4.27E-04,1.014978985
0.014579001,0.001159,1.013759012
0.015799001,4.27E-04,1.011563062
0.015067,9.15E-04,1.011807056
0.014579001,-6.10E-05,1.014247001
0.015067,4.27E-04,1.008391036
0.016043,0.001647,1.011074975
0.015067,-6.10E-05,1.012295045
0.015311,6.71E-04,1.010098997
0.014823,6.71E-04,1.007415058
0.015555,1.83E-04,1.00521901
0.015311,4.27E-04,1.006682977
0.015799001,-5.49E-04,1.00863503
0.015311,-3.05E-04,1.008391036
0.015311,-3.05E-04,1.009367014
0.014335,-7.93E-04,1.009123019
0.016043,4.27E-04,1.011563062
0.015067,9.15E-04,1.008391036
0.014335,1.83E-04,1.009611008
0.015799001,9.15E-04,1.012051051
0.015067,0.001403,1.01131897
0.015311,1.83E-04,1.011074975
0.014335,-6.10E-05,1.011563062
0.015067,1.83E-04,1.011807056
0.016531001,1.83E-04,1.009123019
0.015311,6.71E-04,1.011074975
0.015555,9.15E-04,1.027910986
0.014579001,-5.49E-04,1.009123019
0.017019001,0.001647,1.006194988
0.015555,1.83E-04,1.010342992
0.014579001,-5.49E-04,1.010586986
0.015067,4.27E-04,1.009611008
0.016775,1.83E-04,1.008147041
0.015799001,0.002135,1.009123019
0.015799001,4.27E-04,1.00863503
0.014091,4.27E-04,1.013027029
0.014823,0.001159,1.008147041
0.015799001,-6.10E-05,1.009855003
0.014091,0.001891,1.005950993
0.015311,6.71E-04,1.008147041
0.015311,6.71E-04,1.010098997
0.015555,1.83E-04,1.010098997
0.015067,-3.05E-04,1.011807056
0.016043,-6.10E-05,1.008391036
0.016775,6.71E-04,1.011563062
0.014823,4.27E-04,1.011074975
0.015555,-5.49E-04,1.011074975
0.015799001,1.83E-04,1.010586986
0.013847001,4.27E-04,1.01131897
0.016043,4.27E-04,1.012295045
0.014823,-7.93E-04,1.010586986
0.014823,1.83E-04,1.013027029
